tipo,n,tempo,comparacoes,deslocamentos,memoria
Aleatorio,10,0.000002,45,73,9524
Aleatorio,100,0.000027,4950,7517,9524
Aleatorio,1000,0.001936,499500,744498,9524
Aleatorio,10000,0.230603,49995000,75103517,9524
Crescente,10,0.000001,45,0,9524
Crescente,100,0.000012,4950,0,9524
Crescente,1000,0.001059,499500,0,9524
Crescente,10000,0.106579,49995000,0,9524
Decrescente,10,0.000001,45,135,9524
Decrescente,100,0.000021,4950,14850,9524
Decrescente,1000,0.001961,499500,1498500,9524
Decrescente,10000,0.222909,49995000,149985000,9524
